contestId,index,name,type,tags,rating,points,solvedCount
2150,E1,Hidden Single (Version 1),PROGRAMMING,"['divide and conquer', 'interactive', 'math', 'probabilities', 'sortings']",2600.0,2000.0,858
2150,D,Attraction Theory,PROGRAMMING,"['combinatorics', 'dp', 'math']",2700.0,2500.0,646
2150,C,Limited Edition Shop,PROGRAMMING,"['data structures', 'dp']",2100.0,1750.0,1991
2150,B,Grid Counting,PROGRAMMING,"['combinatorics', 'implementation', 'math']",1700.0,1000.0,4758
2150,A,Incremental Path,PROGRAMMING,"['data structures', 'hashing', 'implementation']",1300.0,500.0,10013
2149,G,Buratsuta 3,PROGRAMMING,"['binary search', 'brute force', 'data structures', 'divide and conquer', 'probabilities']",2100.0,,2227
2149,F,Nezuko in the Clearing,PROGRAMMING,"['binary search', 'math', 'ternary search']",1900.0,,4165
2149,E,Hidden Knowledge of the Ancients,PROGRAMMING,"['data structures', 'two pointers']",1500.0,,7945
2149,D,A and B,PROGRAMMING,['strings'],1200.0,,16603
2149,C,MEX rose,PROGRAMMING,['greedy'],900.0,,24248
2149,B,Unconventional Pairs,PROGRAMMING,"['greedy', 'sortings']",800.0,,29786
2149,A,Be Positive,PROGRAMMING,['math'],800.0,,35135
2148,G,Farmer John's Last Wish,PROGRAMMING,"['binary search', 'data structures', 'math', 'number theory']",1900.0,,3561
2148,F,Gravity Falls,PROGRAMMING,"['greedy', 'implementation', 'sortings']",1800.0,,5789
2148,E,Split,PROGRAMMING,"['binary search', 'data structures', 'two pointers']",1200.0,,12064
2148,D,Destruction of the Dandelion Fields,PROGRAMMING,"['constructive algorithms', 'greedy', 'sortings']",1000.0,,23029
2148,C,Pacer,PROGRAMMING,"['greedy', 'math']",900.0,,22225
2148,B,Lasers,PROGRAMMING,['geometry'],800.0,,29522
2148,A,Sublime Sequence,PROGRAMMING,"['brute force', 'hashing', 'math']",800.0,,40479
2147,I2,Longest Increasing Path (Hard Version),PROGRAMMING,"['constructive algorithms', 'math']",3500.0,3500.0,84
2147,I1,Longest Increasing Path (Easy Version),PROGRAMMING,"['constructive algorithms', 'math']",3300.0,4000.0,116
2147,H,Maxflow GCD Coloring,PROGRAMMING,"['constructive algorithms', 'flows', 'graphs']",3500.0,5500.0,116
2147,G,Modular Tetration,PROGRAMMING,"['combinatorics', 'math', 'number theory']",3100.0,4500.0,261
2147,F,Exchange Queries,PROGRAMMING,"['combinatorics', 'data structures', 'greedy']",2800.0,3000.0,572
2147,E,Maximum OR Popcount,PROGRAMMING,"['binary search', 'bitmasks', 'brute force', 'data structures', 'greedy']",2300.0,2500.0,1898
2147,D,Game on Array,PROGRAMMING,"['games', 'greedy']",1700.0,2000.0,6468
2147,C,Rabbits,PROGRAMMING,"['constructive algorithms', 'dp', 'greedy', 'implementation']",1500.0,1500.0,7848
2147,B,Multiple Construction,PROGRAMMING,['constructive algorithms'],1000.0,1000.0,13970
2147,A,Shortest Increasing Path,PROGRAMMING,"['constructive algorithms', 'greedy']",800.0,500.0,16266
2146,F,Bubble Sort,PROGRAMMING,"['brute force', 'combinatorics', 'dp']",2900.0,3500.0,221
2146,E,Yet Another MEX Problem,PROGRAMMING,"['brute force', 'constructive algorithms', 'data structures', 'divide and conquer', 'greedy', 'hashing']",2300.0,2500.0,1605
2146,D2,Max Sum OR (Hard Version),PROGRAMMING,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy']",2000.0,1000.0,3286
2146,D1,Max Sum OR (Easy Version),PROGRAMMING,"['bitmasks', 'constructive algorithms', 'divide and conquer', 'greedy', 'trees']",1500.0,1500.0,8418
2146,C,Wrong Binary Search,PROGRAMMING,"['binary search', 'constructive algorithms']",1300.0,1250.0,11163
